Entidad,Monto,Contrato,Fecha,Fecha2
ENTIDAD30,69026,CCE-prueba1,01/01/2021,01/enero/2021
ENTIDAD17,78290,CCE-prueba2,02/01/2021,02/enero/2021
ENTIDAD19,84767,CCE-prueba3,03/01/2021,03/enero/2021
ENTIDAD7,13942,CCE-prueba4,04/01/2021,04/enero/2021
,,,,
ENTIDAD28,98698,CCE-prueba5,05/01/2021,06/enero/2021
ENTIDAD28,48999,CCE-prueba6,06/01/2021,07/enero/2021
ENTIDAD6,43013,CCE-prueba7,07/01/2021,08/enero/2021
ENTIDAD6,66544,CCE-prueba8,08/01/2021,09/enero/2021
ENTIDAD2,17194,CCE-prueba9,09/01/2021,10/enero/2021
ENTIDAD24,60738,CCE-prueba10,10/01/2021,11/enero/2021
ENTIDAD2,42141,CCE-prueba11,11/01/2021,12/enero/2021
ENTIDAD26,35843,CCE-prueba12,12/01/2021,13/enero/2021
ENTIDAD7,63113,CCE-prueba13,13/01/2021,14/enero/2021
ENTIDAD1,94856,CCE-prueba14,14/01/2021,15/enero/2021
ENTIDAD19,61867,CCE-prueba15,15/01/2021,16/enero/2021
ENTIDAD28,24066,CCE-prueba16,16/01/2021,17/enero/2021
ENTIDAD17,88561,CCE-prueba17,17/01/2021,18/enero/2021
ENTIDAD32,55371,CCE-prueba18,18/01/2021,19/enero/2021
ENTIDAD28,70519,CCE-prueba19,19/01/2021,20/enero/2021
ENTIDAD1,37002,CCE-prueba20,20/01/2021,21/enero/2021
ENTIDAD17,61787,CCE-prueba21,21/01/2021,22/enero/2021
ENTIDAD6,63484,CCE-prueba22,22/01/2021,23/enero/2021
ENTIDAD9,27201,CCE-prueba23,23/01/2021,24/enero/2021
ENTIDAD31,50150,CCE-prueba24,24/01/2021,25/enero/2021
ENTIDAD29,81695,CCE-prueba25,25/01/2021,26/enero/2021
ENTIDAD5,27402,CCE-prueba26,26/01/2021,27/enero/2021
ENTIDAD3,77725,CCE-prueba27,27/01/2021,28/enero/2021
ENTIDAD3,55796,CCE-prueba28,28/01/2021,29/enero/2021
ENTIDAD9,95572,CCE-prueba29,29/01/2021,30/enero/2021
ENTIDAD17,58831,CCE-prueba30,30/01/2021,31/enero/2021
ENTIDAD14,96151,CCE-prueba31,31/01/2021,01/febrero/2021
ENTIDAD11,84565,CCE-prueba32,01/02/2021,02/febrero/2021
ENTIDAD28,48707,CCE-prueba33,02/02/2021,03/febrero/2021
ENTIDAD14,96397,CCE-prueba34,03/02/2021,04/febrero/2021
ENTIDAD25,84961,CCE-prueba35,04/02/2021,05/febrero/2021
ENTIDAD16,34145,CCE-prueba36,05/02/2021,06/febrero/2021
ENTIDAD31,92097,CCE-prueba37,06/02/2021,07/febrero/2021
ENTIDAD30,98014,CCE-prueba38,07/02/2021,08/febrero/2021
ENTIDAD24,23357,CCE-prueba39,08/02/2021,09/febrero/2021
ENTIDAD11,14700,CCE-prueba40,09/02/2021,10/febrero/2021
ENTIDAD18,72375,CCE-prueba41,10/02/2021,11/febrero/2021
ENTIDAD8,38725,CCE-prueba42,11/02/2021,12/febrero/2021
ENTIDAD8,75032,CCE-prueba43,12/02/2021,13/febrero/2021
ENTIDAD20,55226,CCE-prueba44,13/02/2021,14/febrero/2021
ENTIDAD24,76306,CCE-prueba45,14/02/2021,15/febrero/2021
ENTIDAD25,67923,CCE-prueba46,15/02/2021,16/febrero/2021
ENTIDAD27,93813,CCE-prueba47,16/02/2021,17/febrero/2021
ENTIDAD9,67596,CCE-prueba48,17/02/2021,18/febrero/2021
ENTIDAD14,30706,CCE-prueba49,18/02/2021,19/febrero/2021
ENTIDAD19,49991,CCE-prueba50,19/02/2021,20/febrero/2021
ENTIDAD9,98091,CCE-prueba51,20/02/2021,21/febrero/2021
ENTIDAD21,95373,CCE-prueba52,21/02/2021,22/febrero/2021
ENTIDAD18,37497,CCE-prueba53,22/02/2021,23/febrero/2021
ENTIDAD5,95427,CCE-prueba54,23/02/2021,24/febrero/2021
ENTIDAD9,22610,CCE-prueba55,24/02/2021,25/febrero/2021
ENTIDAD13,52584,CCE-prueba56,25/02/2021,26/febrero/2021
ENTIDAD4,32732,CCE-prueba57,26/02/2021,27/febrero/2021
ENTIDAD11,45264,CCE-prueba58,27/02/2021,28/febrero/2021
ENTIDAD32,19319,CCE-prueba59,28/02/2021,01/marzo/2021
ENTIDAD29,83641,CCE-prueba60,01/03/2021,02/marzo/2021
ENTIDAD11,97934,CCE-prueba61,02/03/2021,03/marzo/2021
ENTIDAD23,60229,CCE-prueba62,03/03/2021,04/marzo/2021
ENTIDAD14,77292,CCE-prueba63,04/03/2021,05/marzo/2021
ENTIDAD2,59276,CCE-prueba64,05/03/2021,06/marzo/2021
ENTIDAD2,71808,CCE-prueba65,06/03/2021,07/marzo/2021
ENTIDAD19,17481,CCE-prueba66,07/03/2021,08/marzo/2021
ENTIDAD6,25471,CCE-prueba67,08/03/2021,09/marzo/2021
ENTIDAD6,95027,CCE-prueba68,09/03/2021,10/marzo/2021
ENTIDAD31,80540,CCE-prueba69,10/03/2021,11/marzo/2021
ENTIDAD19,62019,CCE-prueba70,11/03/2021,12/marzo/2021
ENTIDAD6,60931,CCE-prueba71,12/03/2021,13/marzo/2021
ENTIDAD7,18115,CCE-prueba72,13/03/2021,14/marzo/2021
ENTIDAD17,75225,CCE-prueba73,14/03/2021,15/marzo/2021
ENTIDAD26,36863,CCE-prueba74,15/03/2021,16/marzo/2021
ENTIDAD7,59675,CCE-prueba75,16/03/2021,17/marzo/2021
ENTIDAD26,75792,CCE-prueba76,17/03/2021,18/marzo/2021
ENTIDAD15,25747,CCE-prueba77,18/03/2021,19/marzo/2021
ENTIDAD16,75997,CCE-prueba78,19/03/2021,20/marzo/2021
ENTIDAD25,96636,CCE-prueba79,20/03/2021,21/marzo/2021
ENTIDAD11,53233,CCE-prueba80,21/03/2021,22/marzo/2021
ENTIDAD33,21413,CCE-prueba81,22/03/2021,23/marzo/2021
ENTIDAD16,26697,CCE-prueba82,23/03/2021,24/marzo/2021
ENTIDAD9,66418,CCE-prueba83,24/03/2021,25/marzo/2021
ENTIDAD4,51890,CCE-prueba84,25/03/2021,26/marzo/2021
ENTIDAD9,80003,CCE-prueba85,26/03/2021,27/marzo/2021
ENTIDAD17,23377,CCE-prueba86,27/03/2021,28/marzo/2021
ENTIDAD4,66625,CCE-prueba87,28/03/2021,29/marzo/2021
ENTIDAD25,69817,CCE-prueba88,29/03/2021,30/marzo/2021
ENTIDAD16,88529,CCE-prueba89,30/03/2021,31/marzo/2021
ENTIDAD2,13343,CCE-prueba90,31/03/2021,01/abril/2021
ENTIDAD17,71130,CCE-prueba91,01/04/2021,02/abril/2021
ENTIDAD31,83973,CCE-prueba92,02/04/2021,03/abril/2021
ENTIDAD29,91000,CCE-prueba93,03/04/2021,04/abril/2021
ENTIDAD10,65982,CCE-prueba94,04/04/2021,05/abril/2021
ENTIDAD15,71540,CCE-prueba95,05/04/2021,06/abril/2021
ENTIDAD22,10733,CCE-prueba96,06/04/2021,07/abril/2021
,,,,
ENTIDAD9,10704,CCE-prueba97,07/04/2021,09/abril/2021
ENTIDAD4,40806,CCE-prueba98,08/04/2021,10/abril/2021
ENTIDAD20,41274,CCE-prueba99,09/04/2021,11/abril/2021
ENTIDAD2,64933,CCE-prueba100,10/04/2021,12/abril/2021
ENTIDAD22,77163,CCE-prueba101,11/04/2021,13/abril/2021
ENTIDAD22,56510,CCE-prueba102,12/04/2021,14/abril/2021
ENTIDAD20,68172,CCE-prueba103,13/04/2021,15/abril/2021
ENTIDAD13,79626,CCE-prueba104,14/04/2021,16/abril/2021
